current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,power,sensor,sensor.deyeinvertercombined_non_essential_load,deyeinvertercombined_non_essential_load,,,,,890.0,,W
,power,sensor,sensor.deyeinvertercombined_battery_charge_grid_power,deyeinvertercombined_battery_charge_grid_power,,,,,0.528,,kW
,,sensor,sensor.deyeinvertercombined_daily_charge_efficiency_percent,deyeinvertercombined_daily_charge_efficiency_percent,,,,,0,,%
,,sensor,sensor.deyeinvertercombined_pv_utilization_ratio_percent,deyeinvertercombined_pv_utilization_ratio_percent,,,,,0.0,,%
,,sensor,sensor.deyeinvertercombined_grid_dependency_ratio_percent,deyeinvertercombined_grid_dependency_ratio_percent,,,,,125.0,,%
,,sensor,sensor.network_devices_table,Network Devices Table,,,,,unknown,,
,,sensor,sensor.network_summary,Network Summary,,,,,unavailable,,
,,sensor,sensor.prepaid_units_left,Prepaid units left,,,,,-484.48,,kWh
,energy,sensor,sensor.deyeinvertermaster_solar_power_used_3,deyeinvertermaster_solar_power_used,,,,,0.2,,kWh
,energy,sensor,sensor.deyeinvertermaster_solar_power_battery_charge,deyeinvertermaster_solar_power_battery_charge,,,,,-0.2,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load_3,deyeinvertermaster_essential_load,,,,,828,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load_3,deyeinvertermaster_non_essential_load,,,,,-216,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load_3,deyeinvertermaster_priority_charge_or_load,,,,,on,,
